# DeepWeb Researcher - Complete System Log
# This file captures all backend and frontend activities
# Format: [TIMESTAMP] [SOURCE] [LEVEL] [MESSAGE]

[2025-07-19 15:00:00] [SYSTEM] [INFO] Log file initialized
[2025-07-19 15:00:00] [SYSTEM] [INFO] Backend server starting on port 5001
[2025-07-19 15:00:00] [SYSTEM] [INFO] Frontend running on port 5173 [2025-07-19 15:07:00,581] [BACKEND] [WARNING] python-dotenv could not parse statement starting at line 5
[2025-07-19 15:07:00,708] [BACKEND] [INFO] [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.1.2:5001
[2025-07-19 15:07:00,709] [BACKEND] [INFO] [33mPress CTRL+C to quit[0m
[2025-07-19 15:07:00,713] [BACKEND] [INFO]  * Restarting with stat
[2025-07-19 15:07:01,587] [BACKEND] [WARNING] python-dotenv could not parse statement starting at line 5
[2025-07-19 15:07:01,636] [BACKEND] [WARNING]  * Debugger is active!
[2025-07-19 15:07:01,646] [BACKEND] [INFO]  * Debugger PIN: 424-838-864
[2025-07-19 15:07:15,293] [BACKEND] [INFO] 127.0.0.1 - - [19/Jul/2025 15:07:15] "OPTIONS /research/start HTTP/1.1" 200 -
[2025-07-19 15:07:15,657] [BACKEND] [INFO] Research started - Query: 'api'
[2025-07-19 15:07:15,682] [BACKEND] [INFO] Generated research ID: d8bb22f4-38aa-405d-842a-68e7ae86ada2
[2025-07-19 15:07:15,691] [BACKEND] [INFO] Mock research processing started for ID: d8bb22f4-38aa-405d-842a-68e7ae86ada2
[2025-07-19 15:07:15,692] [BACKEND] [INFO] Research thread started for ID: d8bb22f4-38aa-405d-842a-68e7ae86ada2
[2025-07-19 15:07:15,695] [BACKEND] [INFO] 127.0.0.1 - - [19/Jul/2025 15:07:15] "POST /research/start HTTP/1.1" 200 -
[2025-07-19 15:07:15,792] [BACKEND] [INFO] Research results requested for ID: d8bb22f4-38aa-405d-842a-68e7ae86ada2
[2025-07-19 15:07:15,828] [BACKEND] [INFO] Research results not found for ID: d8bb22f4-38aa-405d-842a-68e7ae86ada2 - Status: processing
[2025-07-19 15:07:15,846] [BACKEND] [INFO] 127.0.0.1 - - [19/Jul/2025 15:07:15] "GET /research/results/d8bb22f4-38aa-405d-842a-68e7ae86ada2 HTTP/1.1" 200 -
[2025-07-19 15:07:16,409] [BACKEND] [INFO] Research results requested for ID: d8bb22f4-38aa-405d-842a-68e7ae86ada2
[2025-07-19 15:07:16,421] [BACKEND] [INFO] Research results not found for ID: d8bb22f4-38aa-405d-842a-68e7ae86ada2 - Status: processing
[2025-07-19 15:07:16,442] [BACKEND] [INFO] 127.0.0.1 - - [19/Jul/2025 15:07:16] "GET /research/results/d8bb22f4-38aa-405d-842a-68e7ae86ada2 HTTP/1.1" 200 -
[2025-07-19 15:07:17,404] [BACKEND] [INFO] Research results requested for ID: d8bb22f4-38aa-405d-842a-68e7ae86ada2
[2025-07-19 15:07:17,406] [BACKEND] [INFO] Research results not found for ID: d8bb22f4-38aa-405d-842a-68e7ae86ada2 - Status: processing
[2025-07-19 15:07:17,408] [BACKEND] [INFO] 127.0.0.1 - - [19/Jul/2025 15:07:17] "GET /research/results/d8bb22f4-38aa-405d-842a-68e7ae86ada2 HTTP/1.1" 200 -
[2025-07-19 15:07:17,656] [BACKEND] [INFO] Research results requested for ID: d8bb22f4-38aa-405d-842a-68e7ae86ada2
[2025-07-19 15:07:17,656] [BACKEND] [INFO] Research results not found for ID: d8bb22f4-38aa-405d-842a-68e7ae86ada2 - Status: processing
[2025-07-19 15:07:17,660] [BACKEND] [INFO] 127.0.0.1 - - [19/Jul/2025 15:07:17] "GET /research/results/d8bb22f4-38aa-405d-842a-68e7ae86ada2 HTTP/1.1" 200 -
[2025-07-19 15:07:17,694] [BACKEND] [INFO] Mock research completed and stored for ID: d8bb22f4-38aa-405d-842a-68e7ae86ada2
[2025-07-19 15:07:17,737] [BACKEND] [INFO] Research results requested for ID: d8bb22f4-38aa-405d-842a-68e7ae86ada2
[2025-07-19 15:07:17,738] [BACKEND] [INFO] Research results found for ID: d8bb22f4-38aa-405d-842a-68e7ae86ada2 - Status: completed
[2025-07-19 15:07:17,739] [BACKEND] [INFO] Returning formatted research results for ID: d8bb22f4-38aa-405d-842a-68e7ae86ada2
